a,b,weight
270430,530010,5
315180,316940,5
290980,291080,5
230190,230730,5
310620,317070,5
352930,355010,5
431690,431940,5
230250,230440,5
410690,420240,5
170700,172100,5
354140,354220,5
330240,421620,5
315180,316200,5
310620,520870,5
352940,353650,5
520320,520870,5
410690,421690,5
310620,330630,5
315770,355430,5
510790,510792,5
410750,411885,5
353020,500790,5
150543,520320,5
310620,320520,5
353020,412730,5
315180,317170,5
410690,421580,5
410765,412550,5
315780,317120,5
310620,317130,5
230190,230440,5
310620,317080,5
330270,330490,5
410480,412350,5
411060,411520,5
221100,230440,5
410690,410830,5
310620,314110,5
280210,280320,5
520140,530010,5
410480,411760,5
410690,411070,5
310620,314000,5
320506,320530,5
330390,350700,5
500060,500370,5
410660,412810,5
310620,313820,5
310620,313760,5
352570,353030,5
230020,230440,5
310620,313520,5
280440,421320,5
410345,412795,5
353140,354980,5
320510,320520,5
291060,291080,5
270430,280030,5
354140,354980,5
410690,412230,5
330240,355030,5
330330,330520,5
431550,431690,5
315120,316720,5
220290,221100,5
411095,411605,5
310620,314700,5
352680,500830,5
352670,353930,5
291005,293070,5
352640,355220,5
330350,330510,5
351907,353650,5
351870,354100,5
431410,431690,5
355220,410690,5
312230,315880,5
220700,221100,5
312360,315180,5
240310,240810,5
320130,320510,5
313840,330455,5
210960,211130,5
520870,522020,5
420540,430460,5
355070,355540,5
210467,210860,5
260120,261160,5
420590,421130,5
420665,421750,5
312770,314140,5
354990,355070,5
313720,353190,5
430460,431840,5
312770,315700,5
312770,315720,5
320090,320150,5
110020,280030,5
351000,354140,5
312230,315200,5
420460,421650,5
350570,351300,5
430510,430810,5
430610,431020,5
260410,260520,5
210300,210990,5
353650,353870,5
430580,431410,5
354880,412550,5
310420,314930,5
351350,353870,5
430510,432280,5
430510,432040,5
351340,351840,5
430510,431690,5
355240,355620,5
420430,530010,5
510125,510710,5
312230,313720,5
430510,431320,5
312230,314070,5
313900,315180,5
430510,430940,5
350450,352180,5
420460,420880,5
355220,530010,5
350950,421320,5
350950,355650,5
431410,431660,5
313620,320130,5
430140,431410,5
250750,260360,5
250300,250890,5
350900,352590,5
354990,530010,5
430020,431333,5
350860,354990,5
350850,355410,5
350850,352440,5
317020,500830,5
430010,431690,5
350650,500830,5
350660,353060,5
350820,355150,5
353760,355100,5
410430,411400,5
313310,315180,5
353850,354990,5
350700,355400,5
355030,355100,5
291640,293330,5
313420,317010,5
313380,314070,5
350950,351240,5
350600,354160,5
350950,355640,5
420910,421480,5
150140,292740,5
353650,355240,5
350950,355210,5
240810,240940,5
350950,355040,5
350570,410690,5
350590,351620,5
320020,320530,5
317080,410690,5
420840,421050,5
350590,352710,5
420840,421750,5
350600,350790,5
251120,251370,5
420890,420900,5
350950,353930,5
110002,110110,5
350600,351540,5
350950,352850,5
250060,250300,5
313670,315400,5
353730,354140,5
250180,250400,5
314110,316720,5
314110,317120,5
292740,292870,5
350330,353870,5
261110,261220,5
230440,410690,5
431240,432200,5
311530,314390,5
311530,410690,5
351907,355670,5
311550,315180,5
354520,421750,5
310400,317010,5
330110,330455,5
314700,317020,5
260960,315780,5
291080,292660,5
330630,410180,5
320332,320530,5
291080,292930,5
330630,530010,5
520640,520870,5
350010,354140,5
354680,355030,5
170220,172100,5
311830,313190,5
354730,355030,5
353550,354140,5
291080,291470,5
110020,520510,5
320460,320530,5
520330,520870,5
330455,330480,5
330455,330550,5
354340,354490,5
352410,354340,5
311060,315180,5
431370,431410,5
352320,355220,5
311110,317020,5
291072,293135,5
314760,315180,5
431340,431600,5
411820,412550,5
311230,312770,5
352250,353440,5
431340,432170,5
431340,432130,5
411910,421580,5
352220,355280,5
352210,355100,5
261160,261390,5
411950,412550,5
320313,320530,5
291080,350330,5
260790,354870,5
430770,431340,5
314340,315180,5
350280,354970,5
520870,521040,5
430800,431690,5
420390,421750,5
351410,353870,5
430780,431140,5
320150,320500,5
430770,431870,5
314330,315700,5
314330,315120,5
351570,351880,5
420420,420460,5
420420,420500,5
430700,431490,5
351380,353440,5
420420,420550,5
430700,431413,5
520870,521180,5
260410,261220,5
410465,421930,5
320140,320530,5
350160,353650,5
420380,420910,5
430890,431410,5
315250,354870,5
110020,412730,5
350160,355030,5
431010,431340,5
110020,411990,5
410430,410650,5
351820,354140,5
354780,530010,5
260760,261160,5
311860,313130,5
350210,500830,5
510340,510480,5
230765,230970,5
520870,520890,5
311860,314000,5
311860,314110,5
420300,420540,5
351630,352590,5
350250,354990,5
410430,410750,5
351620,353630,5
311860,316720,5
320230,320530,5
315690,317010,5
353870,354890,4
310400,312230,4
310350,355170,4
350750,353610,4
330045,330630,4
353870,411915,4
354850,420820,4
354870,355250,4
292740,293135,4
292740,292990,4
292530,293330,4
354890,355030,4
354890,530010,4
354970,355030,4
130260,150680,4
320060,421620,4
320040,320520,4
320010,320530,4
317130,317200,4
354990,420910,4
354990,430920,4
317020,521150,4
291750,314700,4
317010,530010,4
317020,411990,4
355010,355030,4
291750,292740,4
291750,291840,4
355030,355240,4
320240,530010,4
292740,410690,4
130260,250750,4
310160,314790,4
353900,355690,4
353920,354550,4
330040,330455,4
353930,354890,4
353980,355250,4
150553,351340,4
330025,330240,4
310170,312770,4
315780,500320,4
310160,353070,4
320500,354870,4
320270,320530,4
354330,355250,4
150553,520320,4
130260,310620,4
354390,354780,4
320350,320530,4
320340,320530,4
354550,355230,4
354550,355430,4
354780,354990,4
320300,320530,4
310400,315770,4
352470,353870,4
130260,352590,4
350330,355170,4
350320,350600,4
350320,351960,4
351380,355670,4
351380,354330,4
350320,355030,4
350330,350850,4
350330,351240,4
311940,316870,4
350330,353080,4
350370,351110,4
150553,314700,4
350370,355690,4
314000,320530,4
314000,315780,4
314000,314590,4
350390,355030,4
350400,351000,4
312230,313670,4
312230,313880,4
312230,314320,4
351550,352480,4
350280,354805,4
350280,350620,4
311860,317020,4
351880,354990,4
311800,311860,4
350050,350950,4
350100,355150,4
350100,500830,4
351860,355690,4
170210,520870,4
314590,330455,4
351840,352720,4
350190,353080,4
150060,150680,4
351790,353400,4
351790,353390,4
351790,352930,4
350210,351440,4
350250,351340,4
351640,355030,4
350250,352720,4
350280,350320,4
351280,353650,4
350450,353880,4
351240,354670,4
350950,354630,4
313130,314590,4
350950,353880,4
313670,316720,4
150140,520870,4
350600,352270,4
313170,320500,4
350620,351190,4
350920,355670,4
313190,315780,4
350650,351190,4
350840,355650,4
350840,350960,4
350810,353100,4
350790,352930,4
350700,352100,4
350780,354340,4
350775,500600,4
350775,354160,4
313375,314930,4
313130,313170,4
350950,354670,4
351200,353570,4
350950,354750,4
351190,351650,4
150140,230440,4
351110,354340,4
350520,352530,4
351040,354210,4
350520,354110,4
350530,350790,4
313720,500540,4
312770,313950,4
150360,150680,4
351030,353610,4
350530,353670,4
350970,355540,4
350960,352730,4
350950,420890,4
350950,355330,4
350570,355220,4
350570,355645,4
150140,330455,4
351880,355620,4
314700,314800,4
351880,530010,4
353180,410180,4
310620,314610,4
330240,330490,4
315180,355030,4
353100,354805,4
330240,354870,4
353080,354340,4
353070,354910,4
353070,354890,4
353060,355220,4
315180,320530,4
353020,500600,4
130260,520870,4
310620,354990,4
353010,354140,4
352930,355170,4
310630,313130,4
352900,410690,4
310670,313010,4
352710,355535,4
330225,330630,4
315180,530010,4
352690,353080,4
353190,500720,4
353740,355630,4
353650,355030,4
310420,317120,4
315250,354990,4
330100,330340,4
330100,330452,4
330170,330330,4
310540,312770,4
353500,354570,4
353460,354140,4
353440,355280,4
353440,355250,4
353440,354850,4
150553,311830,4
310620,310730,4
310620,311000,4
353360,355170,4
353340,353870,4
330210,330455,4
352690,354580,4
150553,250400,4
351907,352670,4
352390,355700,4
311070,315180,4
352340,355030,4
330455,412550,4
330455,420540,4
314730,354880,4
352210,353720,4
352180,352930,4
314720,315180,4
311370,312770,4
352100,355400,4
352100,355220,4
352050,355620,4
352050,354780,4
330540,330630,4
330630,350920,4
351907,354780,4
150543,280610,4
351907,353340,4
311750,312770,4
352390,355450,4
150543,330455,4
330340,330452,4
311050,315180,4
352680,352800,4
330340,330600,4
310670,351380,4
352600,353020,4
330370,330390,4
352590,355620,4
330370,330630,4
352590,355220,4
352590,354880,4
330410,330455,4
352570,352950,4
330411,330420,4
310830,315250,4
352470,355620,4
310900,311860,4
310990,315120,4
352450,355710,4
330455,330470,4
150812,350320,4
210480,210530,4
354160,355535,4
411180,420820,4
420730,421660,4
230440,231340,4
420390,420420,4
410345,410820,4
260620,261160,4
210340,211220,4
420890,421320,4
430920,430930,4
410345,411560,4
430020,431020,4
211130,355030,4
420360,420420,4
520450,521380,4
410240,412410,4
430960,431410,4
210005,210140,4
211160,315200,4
210030,221110,4
520140,520330,4
290690,293135,4
410690,412560,4
431000,431410,4
260720,354870,4
520110,522010,4
411840,412730,4
211130,313170,4
410230,410420,4
110020,291072,4
520870,521800,4
291080,291955,4
430520,431410,4
260410,260620,4
210320,211250,4
410150,412240,4
420420,420945,4
411580,412405,4
260410,261240,4
260410,261360,4
260410,261410,4
420665,430700,4
270670,530010,4
430310,432300,4
520870,521220,4
110004,110012,4
410765,411915,4
431410,431440,4
500230,500830,4
260600,260790,4
520870,521010,4
291070,292740,4
520870,520910,4
291070,292660,4
290100,291080,4
410430,410690,4
431340,432145,4
410150,410690,4
510704,521880,4
240810,292740,4
290460,291800,4
510840,530010,4
510790,530010,4
261110,280030,4
420820,421930,4
260960,320530,4
431110,431690,4
420120,420910,4
430510,431330,4
420120,420540,4
210160,211130,4
410590,412810,4
230550,231180,4
431130,432090,4
412550,420820,4
110020,510795,4
510623,510795,4
240200,240800,4
290080,291480,4
412550,530010,4
230523,231180,4
290320,291110,4
290320,291080,4
410580,530010,4
261110,290980,4
280030,355030,4
420213,420380,4
261160,261640,4
110020,150810,4
261160,261530,4
230440,310620,4
420240,420460,4
510125,510250,4
410430,411150,4
520110,521180,4
420240,420420,4
410690,411620,4
410690,411570,4
411950,412080,4
260005,352500,4
290570,291920,4
411990,412060,4
250400,250630,4
411990,412550,4
260010,260410,4
420800,421750,4
431060,431690,4
431570,431680,4
421660,431490,4
431320,431490,4
430420,431690,4
230440,230690,4
410530,411560,4
420580,421580,4
410860,411520,4
210120,210540,4
355030,510340,4
420910,530010,4
261220,261390,4
411520,411810,4
431410,431790,4
430620,431340,4
430210,430790,4
430470,430610,4
521880,521930,4
430300,431680,4
411520,412040,4
430150,431020,4
420930,421650,4
250890,261420,4
291110,292620,4
355030,420590,4
230428,230770,4
210120,210990,4
231290,250400,4
355220,355670,4
431690,530010,4
420910,421820,4
411370,412180,4
411060,412810,4
431750,431800,4
291360,293330,4
355230,355630,4
431440,431690,4
250180,251370,4
230440,230580,4
355220,355620,4
250750,292740,4
521250,522185,4
411400,411520,4
431410,432180,4
270430,270480,4
430210,430820,4
420450,420890,4
430610,431490,4
431680,431720,4
291080,293010,4
500110,500330,4
250060,260360,4
420420,530010,4
110020,352930,4
410140,411520,4
411520,530010,4
291080,293360,4
291080,292990,4
240325,240710,4
130260,130353,4
421130,421250,4
260400,261530,4
291560,292530,4
291080,292870,4
420430,420900,4
430100,431340,4
420890,421660,4
352570,353730,3
420910,421950,3
431240,431490,3
330455,500270,3
420820,431180,3
270100,500720,3
313862,353475,3
352210,352460,3
431560,431730,3
313130,313620,3
311530,313840,3
310730,311860,3
411370,411660,3
431560,530010,3
420820,421480,3
314700,330455,3
270100,270430,3
352530,355030,3
350520,353670,3
352210,353760,3
350950,351370,3
352590,352850,3
314730,315180,3
270100,353020,3
431240,520510,3
412405,412570,3
330550,530010,3
313170,355030,3
140010,240810,3
311510,312230,3
310670,410180,3
420820,421620,3
110020,140010,3
431490,432240,3
330490,354870,3
352090,353470,3
352050,353650,3
110020,120020,3
420930,421175,3
352590,353340,3
420820,431140,3
330600,355030,3
310670,355670,3
412550,520510,3
311430,311930,3
431280,431410,3
431240,431950,3
330490,330520,3
313170,351340,3
230370,231130,3
110020,317020,3
352240,355450,3
270030,270800,3
411520,412790,3
411620,411820,3
261160,350950,3
352390,355060,3
250970,251080,3
352390,354870,3
311070,316370,3
313170,313190,3
314800,314810,3
352390,354060,3
352390,352590,3
350950,352900,3
352340,410690,3
110030,530010,3
420890,421620,3
313130,320530,3
411605,412350,3
230440,230970,3
352210,354260,3
261160,351350,3
314800,317040,3
352430,353740,3
150140,355030,3
411580,412350,3
261160,354990,3
314800,317010,3
352450,353030,3
352450,354110,3
110020,150680,3
352390,520870,3
411535,412770,3
411535,411790,3
150543,351350,3
411520,412800,3
352470,352590,3
350950,352140,3
420890,421130,3
420890,421010,3
251080,251620,3
352250,354880,3
230440,250750,3
420900,431140,3
313860,330455,3
310800,313820,3
420910,421690,3
314740,316720,3
411840,412810,3
330455,421130,3
352230,352240,3
261160,280030,3
431440,432110,3
240325,241220,3
261530,261640,3
313170,316190,3
250860,250890,3
431410,432290,3
330414,330630,3
431370,431390,3
411770,411990,3
150010,150550,3
330455,354780,3
150543,315780,3
110020,521308,3
150543,520640,3
431350,432160,3
420890,420930,3
311120,314990,3
352260,353870,3
352260,353100,3
430480,430790,3
411440,411930,3
311160,315180,3
230440,231140,3
150812,240140,3
150140,330240,3
352030,354260,3
351340,355410,3
351340,352660,3
420430,420540,3
420430,420820,3
260360,260950,3
420540,421720,3
351310,351620,3
260345,261370,3
160060,310670,3
260345,260960,3
260345,260790,3
350380,351280,3
314330,314800,3
350320,354970,3
351300,353050,3
110020,354980,3
160053,160060,3
260290,261070,3
420460,420910,3
312230,314990,3
260290,260680,3
312160,312770,3
420550,420900,3
430790,431490,3
170210,170550,3
314330,530010,3
420390,421310,3
351440,353640,3
420390,430700,3
420670,421850,3
351380,520870,3
350280,355030,3
420400,420900,3
314000,314610,3
260120,260600,3
430540,431020,3
420420,420910,3
210120,210160,3
350320,350950,3
312090,314640,3
351370,354890,3
351030,355220,3
350320,352900,3
420420,421140,3
260400,260600,3
420460,421175,3
314330,314350,3
110020,354340,3
351190,353020,3
150140,211120,3
351080,355640,3
312710,315070,3
351100,353020,3
312510,315180,3
351190,354160,3
350370,355535,3
351190,354000,3
350330,354970,3
351190,352710,3
350330,353070,3
210120,211400,3
240020,240810,3
150140,221100,3
420540,420930,3
351150,353870,3
351110,353390,3
351110,355630,3
350370,352570,3
312510,355030,3
291640,292740,3
312360,316940,3
351240,354870,3
351210,353570,3
260190,261360,3
420460,530010,3
351240,354390,3
351240,352690,3
312710,352930,3
240120,251120,3
240120,250890,3
312230,330455,3
430700,430750,3
351210,353070,3
351080,354910,3
351200,355340,3
430600,431410,3
351200,355170,3
351200,354980,3
351200,353950,3
210120,210910,3
351080,353070,3
351200,353190,3
350330,352930,3
230765,353870,3
240120,351210,3
420390,420985,3
260890,261160,3
351880,520110,3
150140,310620,3
420800,521440,3
351880,354880,3
311800,311830,3
420205,421480,3
420210,420890,3
260890,261640,3
260010,260510,3
311820,317010,3
311770,315180,3
351880,352900,3
431020,431890,3
313900,353050,3
314590,320500,3
350440,354160,3
350160,351907,3
420240,420430,3
350950,431490,3
350950,510340,3
431100,431560,3
420810,421010,3
313940,313950,3
311530,520510,3
350450,351410,3
352010,354340,3
261000,261160,3
431180,431490,3
351960,352930,3
351960,352270,3
351910,521150,3
314700,316935,3
330630,355030,3
311530,520870,3
150050,172210,3
431140,431490,3
431140,431280,3
230550,230730,3
260990,261110,3
350950,355160,3
420120,420230,3
420125,421320,3
420125,421820,3
420130,420540,3
431020,431750,3
420240,420900,3
351500,352390,3
420380,421010,3
430920,431870,3
240120,353190,3
420360,420550,3
351020,352230,3
170210,170950,3
420360,420900,3
350390,354870,3
313990,315180,3
430900,431410,3
350390,354680,3
350210,355030,3
420380,421360,3
351518,354880,3
260110,260990,3
351518,352470,3
350280,351190,3
312770,315710,3
311860,355030,3
260110,261110,3
350280,353100,3
351620,352410,3
350210,354160,3
210530,210860,3
420240,431490,3
431010,432170,3
351820,500720,3
351820,355255,3
420240,421580,3
420240,421660,3
311860,312230,3
210030,210255,3
420240,421780,3
420240,430510,3
350190,352590,3
430930,432000,3
420290,420540,3
350190,355030,3
150140,250750,3
350210,350280,3
420730,421870,3
311860,314480,3
350210,352570,3
311860,314740,3
351620,355030,3
351880,354730,3
420540,421570,3
431570,431690,3
354070,354890,3
354030,355710,3
320480,320530,3
150553,520640,3
410345,412065,3
290840,291400,3
290750,292740,3
353960,355340,3
410345,412770,3
290750,291080,3
353930,354630,3
313440,510125,3
421950,421970,3
410370,412550,3
250320,353870,3
350590,355150,3
350700,351970,3
430380,431410,3
320520,330240,3
353870,355450,3
130260,350950,3
130260,351880,3
520510,521010,3
520510,530010,3
353870,354980,3
320380,320530,3
410180,412080,3
430310,432160,3
316720,530010,3
320190,320530,3
320240,320520,3
211130,261160,3
410210,412000,3
354140,530010,3
320260,320530,3
313505,314330,3
410230,412550,3
172100,310620,3
290980,530010,3
211130,314700,3
310160,355030,3
313505,313510,3
354110,510730,3
410345,410860,3
430350,430660,3
211130,330200,3
310170,316860,3
310350,354160,3
320520,350330,3
354340,354890,3
410430,412770,3
353670,410690,3
353650,410180,3
520110,521020,3
430390,431990,3
310420,313030,3
313670,330370,3
315780,320500,3
353650,354780,3
220220,220390,3
410480,410500,3
315780,316935,3
353600,355630,3
353570,355690,3
290390,291480,3
353540,353640,3
353530,354140,3
290320,521880,3
353500,354980,3
330030,330380,3
330040,330280,3
290320,411990,3
520110,521040,3
430390,431870,3
520110,521460,3
330010,330045,3
320520,352900,3
320520,355030,3
310400,310620,3
320520,530010,3
120040,510340,3
353870,354515,3
350590,353360,3
315960,352470,3
320530,330330,3
320530,354850,3
353810,354980,3
320530,354990,3
290600,291080,3
315960,317070,3
320530,431490,3
313440,313862,3
410430,411820,3
353760,354260,3
330010,330025,3
310400,355030,3
353740,355255,3
313510,313520,3
250320,250860,3
290320,317020,3
313620,353870,3
355170,521150,3
354940,411990,3
317070,355030,3
317010,355150,3
317010,355030,3
350600,354890,3
317120,355030,3
292510,293330,3
313670,314590,3
292530,292740,3
355430,355630,3
354880,410690,3
354880,355250,3
110002,110011,3
250180,530010,3
354870,530010,3
313620,316870,3
355535,355690,3
355630,500720,3
355650,355670,3
521150,522040,3
350600,354850,3
291460,292740,3
130260,230440,3
291460,292990,3
355030,355400,3
317020,355030,3
291640,355030,3
291640,411460,3
355030,411370,3
355030,355070,3
355030,355060,3
430210,431410,3
313630,314800,3
317020,520110,3
291760,293330,3
430160,530010,3
317010,520870,3
291800,293135,3
354990,410180,3
354990,355620,3
355030,500660,3
291480,291950,3
430160,431880,3
317010,500720,3
291460,293050,3
410040,410580,3
292740,310620,3
354340,354970,3
130260,261160,3
354760,354890,3
316990,330600,3
291080,293070,3
293070,353870,3
354550,500720,3
410140,530010,3
291080,292400,3
354530,355220,3
350635,351870,3
354520,355030,3
350600,351910,3
410150,411520,3
354400,354580,3
410160,410690,3
430080,430510,3
354390,354990,3
354390,354880,3
250060,251120,3
350640,351650,3
313510,317103,3
320130,320500,3
354780,354850,3
354780,355670,3
354870,410690,3
410140,410690,3
317010,353020,3
320040,320130,3
410040,412550,3
210540,211130,3
354870,355240,3
250180,250320,3
410050,411060,3
250150,250400,3
320040,330455,3
350610,352930,3
354850,421620,3
410050,411520,3
291110,292890,3
521010,521150,3
354850,354990,3
410050,412810,3
410120,412550,3
292740,431490,3
210467,211130,3
320080,320150,3
520890,521040,3
250400,251080,3
430440,432120,3
430460,430470,3
230100,230765,3
500240,500720,3
230030,230440,3
353020,354770,3
230100,230428,3
350530,352090,3
352950,353350,3
352940,355250,3
350850,353800,3
421200,421720,3
350860,351340,3
410830,411560,3
310670,312230,3
310620,420910,3
421190,421660,3
310620,500320,3
352930,353950,3
410830,412550,3
410830,412770,3
410840,412770,3
310630,320530,3
410840,421930,3
313720,500720,3
410750,412730,3
353020,500720,3
500270,500540,3
353030,353740,3
410690,412796,3
221100,261160,3
410690,420420,3
410690,420900,3
330170,351380,3
353070,410230,3
353070,355730,3
500370,500380,3
350750,354105,3
421300,421930,3
310620,330240,3
421290,421750,3
313720,316040,3
250630,250690,3
350530,352930,3
353070,354390,3
270730,355170,3
160030,320530,3
210330,211220,3
110018,110020,3
353060,353730,3
352900,412240,3
350900,351630,3
410690,412770,3
230250,230730,3
411070,411990,3
310670,320520,3
330310,330455,3
352680,510760,3
431690,432270,3
411095,412350,3
313820,314790,3
411095,412635,3
431690,432070,3
411155,411810,3
421050,421100,3
421120,421870,3
431680,432270,3
431680,432260,3
352600,355430,3
352600,355255,3
350920,353060,3
411180,411270,3
350920,353070,3
310670,353650,3
310670,353870,3
430466,431560,3
350370,353100,3
352690,354890,3
352690,355030,3
352710,352900,3
310670,313380,3
352900,354970,3
421050,421420,3
352900,353470,3
431870,431950,3
350900,352850,3
313780,315180,3
352800,353670,3
421050,421290,3
350920,350960,3
352760,354980,3
352760,354110,3
352740,355630,3
352740,353640,3
352730,355030,3
431720,520800,3
330300,330455,3
310670,315250,3
431720,432180,3
140010,150140,3
352710,353470,3
250460,251120,3
150553,291750,3
150553,315180,3
310620,314800,3
353360,354340,3
350760,352340,3
330080,330340,3
350750,355030,3
410690,410940,3
353180,355220,3
330045,330510,3
330080,352390,3
120040,230440,3
330100,330210,3
353180,354580,3
130260,354870,3
350570,352590,3
510515,510760,3
310620,314710,3
350550,421660,3
280320,353870,3
350775,350810,3
130260,411370,3
350760,355210,3
410560,412810,3
410550,411300,3
330060,330220,3
410550,411210,3
410580,411915,3
330070,330390,3
330070,330490,3
430460,430620,3
280610,313170,3
353340,355220,3
250400,251250,3
353190,353630,3
510350,510525,3
220770,220800,3
315250,355220,3
315720,316870,3
290320,292620,3
310560,313170,3
500630,500830,3
500720,500830,3
410480,412855,3
290320,292740,3
421470,421820,3
353080,354870,3
120040,140010,3
310620,315720,3
313670,354870,3
330100,330330,3
410690,411950,3
310560,316250,3
313370,313380,3
220770,221060,3
350775,354180,3
353440,354780,3
313375,314790,3
250400,280030,3
510030,510760,3
353440,354730,3
430450,432055,2
350530,350750,2
350570,354730,2
350520,420985,2
350590,350780,2
350600,353350,2
430470,431000,2
350520,355030,2
110020,261110,2
150304,150840,2
430470,431890,2
350440,354180,2
350370,355170,2
350520,410480,2
350570,352250,2
430450,431560,2
430510,431290,2
350520,353930,2
350570,355670,2
350580,353730,2
350570,352390,2
350570,352500,2
350590,353190,2
350550,350950,2
430470,432010,2
430460,431140,2
430510,431680,2
350450,355010,2
350530,352180,2
430460,431990,2
430460,431950,2
150304,520640,2
430310,432000,2
350390,355250,2
430460,431080,2
430350,431490,2
430535,432200,2
430460,431410,2
350600,351240,2
350390,354880,2
350390,352310,2
350530,355030,2
350460,354980,2
430480,431490,2
350520,351910,2
350530,355170,2
350380,355240,2
430510,431580,2
430510,431410,2
350600,351380,2
430580,431370,2
350410,354870,2
350570,351060,2
150360,150420,2
430210,431490,2
430463,432160,2
430463,432150,2
350530,351860,2
350410,352850,2
430460,430640,2
350550,351740,2
430510,431440,2
350590,353430,2
430460,530010,2
350550,352930,2
430300,431830,2
430390,430770,2
430390,430640,2
430310,431010,2
350400,355500,2
355030,355650,2
330455,351380,2
350370,352260,2
330100,330480,2
330100,330470,2
150553,313670,2
510030,510637,2
510170,510795,2
510180,510637,2
510180,510704,2
330070,530010,2
510250,510795,2
510263,510637,2
510267,510704,2
510340,510350,2
330060,330240,2
330060,330100,2
110011,110028,2
330050,330470,2
330050,330455,2
330050,330340,2
330050,330110,2
510480,510840,2
150553,320520,2
510525,510790,2
510622,510795,2
330040,330400,2
510682,510795,2
330040,330360,2
330040,330170,2
330030,330290,2
330030,330280,2
330030,330040,2
330100,330475,2
510025,510790,2
330020,330550,2
510025,510180,2
431870,432120,2
330250,330430,2
330250,330390,2
432130,432260,2
330250,330270,2
330240,530010,2
432150,432160,2
330240,421130,2
330240,420820,2
500060,500770,2
330240,354850,2
330240,351380,2
500124,500370,2
500230,500660,2
500270,500720,2
330220,330240,2
500270,510622,2
330210,330452,2
330210,330240,2
500270,520110,2
110015,110030,2
500320,500570,2
500320,510340,2
330190,330430,2
500370,500600,2
500540,500710,2
500540,500790,2
500600,510623,2
500769,510760,2
110011,110012,2
330020,330520,2
430610,432010,2
320130,320240,2
150616,150840,2
110004,110011,2
320090,320500,2
320090,320460,2
520870,521973,2
520890,521020,2
150680,160030,2
320060,320500,2
320060,320270,2
320060,320150,2
150680,160060,2
521020,521880,2
320040,320240,2
320020,320480,2
320020,320230,2
521150,530010,2
320010,320120,2
521180,521460,2
521180,522060,2
317070,354850,2
317070,353050,2
317020,522140,2
521310,521880,2
521460,530010,2
521850,521880,2
317020,510840,2
522140,522160,2
317020,420910,2
522140,530010,2
320130,320150,2
320130,320332,2
330020,330490,2
320130,350950,2
520110,521000,2
330020,330190,2
330010,330600,2
330010,330170,2
330010,330040,2
320530,500270,2
520110,521090,2
520110,521250,2
320520,354520,2
520110,522060,2
320520,330420,2
520140,521460,2
320506,330240,2
520320,520510,2
320500,330630,2
150553,510340,2
520320,521308,2
320495,320500,2
520450,521930,2
520480,520620,2
320340,320480,2
520620,521250,2
520640,521460,2
520860,521180,2
520860,522140,2
520870,521170,2
320150,320460,2
320150,320320,2
320130,530010,2
431780,432140,2
150553,261110,2
431760,432160,2
430890,432080,2
430920,431340,2
430920,431680,2
430920,431760,2
430920,431840,2
430920,432300,2
350210,355240,2
350210,352600,2
430960,431790,2
430960,432180,2
350190,410690,2
350190,355160,2
431010,432120,2
431020,431115,2
350160,354400,2
431020,431333,2
431020,431780,2
350160,353180,2
350160,352590,2
350160,352050,2
150543,172210,2
350115,352390,2
350115,351970,2
431020,432180,2
431020,432190,2
431080,431480,2
350060,355040,2
350060,350950,2
350050,350190,2
350010,412730,2
430910,431580,2
350280,350810,2
330270,330550,2
350280,351820,2
430680,430860,2
350330,354340,2
350330,353930,2
430680,431140,2
430680,432040,2
430690,431680,2
350330,352260,2
430693,431750,2
430700,431180,2
350330,350600,2
430700,431280,2
350320,355170,2
430700,432010,2
430760,431870,2
150420,210530,2
110020,230523,2
350320,353870,2
350320,352570,2
350320,352430,2
430810,431260,2
350320,351930,2
430820,431490,2
430850,431180,2
350320,350530,2
350320,350330,2
430850,432180,2
430860,431490,2
350280,353460,2
350280,352090,2
350010,355630,2
350010,352600,2
431140,432300,2
330630,351350,2
330411,412080,2
330411,330455,2
110020,150050,2
431440,432055,2
431440,432240,2
431490,431680,2
330390,330630,2
330390,330600,2
431490,431710,2
330380,330420,2
150550,150810,2
431490,431800,2
110020,130353,2
431490,431900,2
150553,150613,2
431490,431940,2
330360,330420,2
330350,530010,2
110020,120050,2
330340,351060,2
431490,520870,2
330340,330580,2
431560,432110,2
330330,330510,2
431600,432120,2
330330,330420,2
431680,520800,2
431690,432150,2
330320,330414,2
330420,330540,2
330420,353060,2
330420,354880,2
431350,431760,2
330630,351340,2
110020,210005,2
431240,431990,2
330580,355030,2
431240,432120,2
330520,530010,2
330490,330550,2
431333,431780,2
431340,431440,2
330455,431410,2
431340,431690,2
330455,430460,2
431340,530010,2
330455,410550,2
330420,355030,2
330455,355670,2
330455,355220,2
330455,353870,2
330455,353440,2
330455,352590,2
330455,352470,2
431370,432010,2
431405,431990,2
150304,150553,2
431405,432120,2
330455,330620,2
431410,431780,2
330420,412550,2
350600,353440,2
351200,351790,2
430210,431340,2
410690,431010,2
130260,421660,2
410720,410840,2
410720,410830,2
410715,411560,2
353070,354870,2
410690,500320,2
410690,431680,2
353070,355090,2
410530,411605,2
353070,355670,2
410690,430460,2
410690,421320,2
353080,353180,2
410690,412810,2
353080,353440,2
353080,353870,2
410720,411760,2
410750,411155,2
353050,353080,2
410750,412680,2
352900,355670,2
352900,412550,2
352900,421690,2
352930,354580,2
352930,354980,2
410830,412350,2
352930,355190,2
352930,355370,2
410830,410840,2
