a,b,weight
250400,251400,34
420120,421660,34
110020,260720,34
411885,412680,34
410750,412580,34
510340,510760,34
354780,410180,34
312770,313130,34
410690,412080,34
355030,355250,34
355030,355220,34
211130,310620,34
150140,160030,34
260345,261160,33
261420,270730,33
350950,352690,33
354990,355410,33
261110,261390,33
130260,530010,33
352050,354870,33
410345,410480,33
411155,412810,33
230370,230440,32
315250,315960,32
290650,292740,32
240800,240810,32
352590,355670,32
410150,411370,31
354330,354780,31
291480,293330,31
350600,352900,31
410140,411370,31
315770,317010,30
420550,421930,30
210530,211130,30
250320,250750,30
320130,320520,30
431490,431870,30
430210,430510,30
412680,500600,30
354880,355220,30
330320,330350,29
330330,330390,29
420240,420820,29
350320,354340,29
311530,313670,29
352590,355650,29
430460,430920,29
431410,431490,29
431490,431690,29
350530,355010,29
350390,351880,29
351300,355030,28
351350,355100,28
261160,270430,28
320500,320520,28
350950,530010,28
260190,261160,28
330100,330240,28
350720,353550,28
291080,292740,28
353390,355340,28
310350,317020,27
280030,280570,27
352940,354330,27
211130,221100,27
351518,353070,27
410690,420540,27
410480,412770,27
351110,354980,27
350840,352590,27
410420,410690,27
353390,355190,27
351060,355030,27
250460,250750,27
353190,354940,27
430310,431490,26
313170,314590,26
291360,291480,26
240325,240810,26
411370,412240,26
355030,355670,26
350115,355220,26
260410,261110,26
230428,230440,25
330455,410690,25
310160,315180,25
330010,330330,25
260410,260600,25
330070,330455,25
330070,330520,25
522185,530010,25
420240,420890,25
500270,530010,25
354870,412550,25
420540,421190,25
352900,354000,25
354990,355030,25
353340,355240,25
510340,530010,25
313670,313840,24
420890,421580,24
350950,355220,24
353600,354140,24
350950,410690,24
353360,354940,24
320150,320530,24
330340,330455,24
420230,420540,24
320120,320530,24
420460,421870,24
351350,351870,24
311860,315780,24
350950,354580,24
350950,354890,24
350700,355220,24
350450,354580,24
520800,530010,24
350330,352690,24
355030,431490,24
354980,355030,24
355030,420910,24
352600,354140,24
410465,411990,23
350280,354140,23
350600,530010,23
314800,317020,23
221100,530010,23
351907,352470,23
351570,355030,23
354980,355710,23
420900,421930,23
410750,411520,23
260290,260720,23
410690,411820,23
350950,354990,23
410690,411915,23
352940,355030,23
353740,355230,22
350920,355030,22
354330,354880,22
355030,355620,22
353020,354550,22
411810,412730,22
351340,354990,22
354850,354870,22
330045,330320,22
350950,353070,22
313420,317020,22
210750,211130,22
352390,354520,22
351350,355030,22
210860,211130,22
310620,312230,22
521250,530010,22
420840,421100,22
110020,120040,22
210120,211130,22
330225,330420,21
353340,354580,21
310620,311830,21
411520,411840,21
150543,313170,21
330420,330455,21
430160,431440,21
351860,352930,21
313240,354990,21
260005,261160,21
351150,355450,21
310620,314590,21
350570,350920,21
520510,521550,21
420460,420930,21
351200,351210,21
230440,230730,21
130250,130260,20
500270,500320,20
350600,352530,20
350950,354400,20
431680,431690,20
350950,353180,20
350370,354560,20
230440,231290,20
250750,251080,20
500270,500830,20
352710,354160,20
354580,355240,20
315180,354910,20
