
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.094)",="(0.116)",="(0.253)",="(0.191)",="(0.423)",="(0.032)",="(0.037)",="(0.066)",="(0.066)",="(0.138)",="(0.028)",="(0.032)",="(0.057)",="(0.055)",="(0.116)"

="2015.year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.036",="-0.122",="-0.375",="0.557**",="0.599",="0.063*",="0.063",="-0.138*",="0.232***",="-0.102",="0.064**",="0.067*",="-0.152**",="0.243***",="-0.092"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.115)",="(0.133)",="(0.294)",="(0.239)",="(0.530)",="(0.036)",="(0.042)",="(0.075)",="(0.082)",="(0.155)",="(0.032)",="(0.036)",="(0.066)",="(0.071)",="(0.133)"

="2016.year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.009",="-0.060",="-0.274",="0.704***",="0.939",="0.049",="0.031",="-0.182**",="0.227***",="-0.039",="0.049",="0.030",="-0.211***",="0.233***",="-0.057"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.127)",="(0.142)",="(0.346)",="(0.264)",="(0.651)",="(0.038)",="(0.045)",="(0.081)",="(0.085)",="(0.167)",="(0.035)",="(0.041)",="(0.073)",="(0.077)",="(0.143)"

="2009.year#c.avg_ftreat_pf_n_l_firm_emp_2009",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.277***",="0.326**",="",="",="",="-0.046",="-0.044",="",="",="",="-0.061**",="-0.073"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.083)",="(0.166)",="",="",="",="(0.031)",="(0.059)",="",="",="",="(0.027)",="(0.055)"

