
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)"
="",="",="",="",="",="",="(0.105)",="(0.098)",="(0.097)",="(0.097)",="(0.097)",="",="",="",="",="",="",="",="",="",=""

="2016.year#c.totalone_pw",="",="",="",="",="",="-0.297***",="-0.208**",="-0.207**",="-0.211**",="-0.212**",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.088)",="(0.087)",="(0.087)",="(0.087)",="(0.087)",="",="",="",="",="",="",="",="",="",=""

="2009.year#c.avg_flowone_pf",="",="",="",="",="",="",="",="",="",="",="0.051***",="0.039***",="0.039***",="0.039***",="0.038***",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.012)",="(0.012)",="(0.012)",="(0.012)",="(0.012)",="",="",="",="",=""

="2010.year#c.avg_flowone_pf",="",="",="",="",="",="",="",="",="",="",="0.023**",="0.021**",="0.021**",="0.021**",="0.021**",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.010)",="(0.010)",="(0.010)",="(0.010)",="(0.010)",="",="",="",="",=""

="2011.year#c.avg_flowone_pf",="",="",="",="",="",="",="",="",="",="",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",=""

="2012.year#c.avg_flowone_pf",="",="",="",="",="",="",="",="",="",="",="-0.018*",="-0.004",="-0.004",="-0.004",="-0.004",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.010)",="(0.011)",="(0.011)",="(0.011)",="(0.011)",="",="",="",="",=""

="2013.year#c.avg_flowone_pf",="",="",="",="",="",="",="",="",="",="",="-0.037***",="-0.034***",="-0.035***",="-0.035***",="-0.035***",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.012)",="(0.012)",="(0.012)",="(0.012)",="(0.012)",="",="",="",="",=""

="2014.year#c.avg_flowone_pf",="",="",="",="",="",="",="",="",="",="",="-0.062***",="-0.057***",="-0.058***",="-0.058***",="-0.058***",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.013)",="(0.014)",="(0.014)",="(0.014)",="(0.014)",="",="",="",="",=""

="2015.year#c.avg_flowone_pf",="",="",="",="",="",="",="",="",="",="",="-0.082***",="-0.050***",="-0.048***",="-0.048***",="-0.048***",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.016)",="(0.017)",="(0.017)",="(0.017)",="(0.017)",="",="",="",="",=""

="2016.year#c.avg_flowone_pf",="",="",="",="",="",="",="",="",="",="",="-0.044***",="-0.036**",="-0.037**",="-0.038**",="-0.038**",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.015)",="(0.016)",="(0.016)",="(0.016)",="(0.016)",="",="",="",="",=""

="1.treat_ultra#2009.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.005***",="0.003",="0.003*",="0.009***",="0.009***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)"

="1.treat_ultra#2010.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.006***",="0.004***",="0.005***",="0.007***",="0.007***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="1.treat_ultra#2011.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.treat_ultra#2012.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.002**",="0.007***",="0.007***",="0.008***",="0.008***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="1.treat_ultra#2013.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.001",="0.003",="0.003*",="0.004**",="0.004**"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)"

="1.treat_ultra#2014.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.003*",="0.004**",="0.005***",="0.006***",="0.006***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)"

="1.treat_ultra#2015.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.010***",="0.002",="-0.002",="-0.002",="-0.002"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)"

="1.treat_ultra#2016.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.004**",="-0.002",="-0.000",="0.002",="0.002"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)"

="N",="272143",="264905",="264905",="264905",="264905",="452973",="446172",="446172",="446164",="446164",="272151",="264913",="264913",="264905",="264905",="761376",="755234",="755234",="682464",="682464"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
