spec;section;outcome;row_type;value
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_2_higher";"c_1_hs_pre_se";   0.0099"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_2_higher";"c_1_hs_pre_ftest";   0.4234"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_2_higher";"c_1_hs_n_obs";      21,764"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_2_higher";"c_1_hs_n_firms";       3,283"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_0_no_hs";"c_2_higher_main";  -0.0031
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_0_no_hs";"c_2_higher_main_se";   0.0020"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_0_no_hs";"c_2_higher_pre";  -0.0027
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_0_no_hs";"c_2_higher_pre_se";   0.0017"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_0_no_hs";"c_2_higher_pre_ftest";   0.2189"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_0_no_hs";"c_2_higher_n_obs";      20,070"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_0_no_hs";"c_2_higher_n_firms";       2,761"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_1_hs";"c_2_higher_main";  -0.0012
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_1_hs";"c_2_higher_main_se";   0.0009"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_1_hs";"c_2_higher_pre";  -0.0001
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_1_hs";"c_2_higher_pre_se";   0.0015"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_1_hs";"c_2_higher_pre_ftest";   0.8906"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_1_hs";"c_2_higher_n_obs";      23,086"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_1_hs";"c_2_higher_n_firms";       2,968"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_2_higher";"c_2_higher_main";  -0.0060*
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_2_higher";"c_2_higher_main_se";   0.0035"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_2_higher";"c_2_higher_pre";   0.0026
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_2_higher";"c_2_higher_pre_se";   0.0051"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_2_higher";"c_2_higher_pre_ftest";   0.7051"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_2_higher";"c_2_higher_n_obs";      21,217"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_2_higher";"c_2_higher_n_firms";       2,991"
"disentangle_edu";"layer_firm_year";"lr_remdezr_h_layer_0_no_hs";"c_0_no_hs_main";  -0.0006
"disentangle_edu";"layer_firm_year";"lr_remdezr_h_layer_0_no_hs";"c_0_no_hs_main_se";   0.0019"
"disentangle_edu";"layer_firm_year";"lr_remdezr_h_layer_0_no_hs";"c_0_no_hs_pre";   0.0007
"disentangle_edu";"layer_firm_year";"lr_remdezr_h_layer_0_no_hs";"c_0_no_hs_pre_se";   0.0024"
"disentangle_edu";"layer_firm_year";"lr_remdezr_h_layer_0_no_hs";"c_0_no_hs_pre_ftest";   0.6951"
"disentangle_edu";"layer_firm_year";"lr_remdezr_h_layer_0_no_hs";"c_0_no_hs_n_obs";      27,239"
"disentangle_edu";"layer_firm_year";"lr_remdezr_h_layer_0_no_hs";"c_0_no_hs_n_firms";       3,661"
"disentangle_edu";"layer_firm_year";"lr_remdezr_h_layer_1_hs";"c_0_no_hs_main";   0.0015
"disentangle_edu";"layer_firm_year";"lr_remdezr_h_layer_1_hs";"c_0_no_hs_main_se";   0.0014"
"disentangle_edu";"layer_firm_year";"lr_remdezr_h_layer_1_hs";"c_0_no_hs_pre";  -0.0003
"disentangle_edu";"layer_firm_year";"lr_remdezr_h_layer_1_hs";"c_0_no_hs_pre_se";   0.0009"
"disentangle_edu";"layer_firm_year";"lr_remdezr_h_layer_1_hs";"c_0_no_hs_pre_ftest";   0.2326"
"disentangle_edu";"layer_firm_year";"lr_remdezr_h_layer_1_hs";"c_0_no_hs_n_obs";      28,334"
"disentangle_edu";"layer_firm_year";"lr_remdezr_h_layer_1_hs";"c_0_no_hs_n_firms";       3,653"
"disentangle_edu";"layer_firm_year";"lr_remdezr_h_layer_2_higher";"c_0_no_hs_main";   0.0049***
"disentangle_edu";"layer_firm_year";"lr_remdezr_h_layer_2_higher";"c_0_no_hs_main_se";   0.0015"
"disentangle_edu";"layer_firm_year";"lr_remdezr_h_layer_2_higher";"c_0_no_hs_pre";   0.0013
"disentangle_edu";"layer_firm_year";"lr_remdezr_h_layer_2_higher";"c_0_no_hs_pre_se";   0.0023"
"disentangle_edu";"layer_firm_year";"lr_remdezr_h_layer_2_higher";"c_0_no_hs_pre_ftest";   0.4191"
"disentangle_edu";"layer_firm_year";"lr_remdezr_h_layer_2_higher";"c_0_no_hs_n_obs";      20,292"
