partition,col,p90,outcome,b1,se1,b2,se2,bp1,sp1,bp2,sp2,peq,n,firms
gender,firm,sd,emp,0.00320699966631957,0.00395254786381926,0.00276415445275969,0.00768927215616527,0.00141647164506873,0.00323568873156502,-0.0011399335685395,0.00870666720497641,0.959260181549646,29056,3632
gender,g1,firm,wage,0.00029013266335498,0.00269467562132622,-0.000371433168631843,0.00227477949082437,0.00313996142713641,0.0042228986701344,-0.00334441423566595,0.00303221970643012,0.873052885088699,27577,3599
gender,g1,firm,emp,-0.00268530712692863,0.00495501654152631,0.00334411026790662,0.00636364641796522,0.00681697380969257,0.0067389776553246,-0.00043869516084497,0.00599002490992705,0.461550751761694,27577,3599
gender,g2,firm,wage,0.000773428141434208,0.00137535224056503,0.00520847868947135,0.00269107919782942,-0.000310113084033334,0.00166508625423513,0.000268867667370736,0.0036222571719991,0.176769635149203,28130,3620
gender,g2,firm,emp,0.000752902853430036,0.00346390771113047,0.00767935436732121,0.00626942257541219,0.00132752252805653,0.0034724418572973,-0.00530082001417487,0.00897679911350517,0.37127024363479,28130,3620
ten2,firm,own,wage,0.00136482835401375,0.0029988313246345,0.0025449899861962,0.0010569549994766,0.00504825121114773,0.00320136993548083,9.7087017772074e-05,0.00116518159054879,0.72092788304554,31829,4000
ten2,firm,own,emp,-0.0080972179315254,0.00927593626135704,0.00440446037256186,0.00415425782694524,-0.00141817722765226,0.00817189924225346,0.00168337268353664,0.0027457050758202,0.212365295562049,32000,4000
ten2,firm,firm,wage,0.00057112758531166,0.0012548942789463,0.00521227123835684,0.00216469855437163,0.0021124967955067,0.00133964879597482,0.000198839238305638,0.00238635222249677,0.0783308876993235,31829,4000
ten2,firm,firm,emp,-0.00338837078770718,0.00388161856608145,0.00902056284893226,0.00850813508326131,-0.000593452014087416,0.00341962201174471,0.003447634399123,0.00562334613233506,0.178450861516867,32000,4000
ten2,firm,sd,wage,0.00106902823542694,0.00234889270133438,0.00598873051955247,0.00248716839653249,0.00395414051032461,0.00250753499003114,0.000228459832666355,0.00274184126066819,0.175479449622354,31829,4000
ten2,firm,sd,emp,-0.00634230273114566,0.00726555668648727,0.0103643340046079,0.0097755711296531,-0.00111081477369759,0.00640079831382625,0.00396122005208529,0.00646104223373813,0.162650691862925,32000,4000
ten2,g1,firm,wage,-0.000172930821016751,0.00256228154751215,0.00276473018410776,0.00346515572547567,0.00416243040489081,0.00312263891602792,0.00444782259700403,0.00444047689843806,0.532213994790779,27852,3957
ten2,g1,firm,emp,-0.00412960152096501,0.00684118436459387,0.00408252825154079,0.0102619354923958,-0.0137003547447612,0.00789569155640933,0.0177320487628162,0.0107855680270003,0.527464068492566,27852,3957
ten2,g2,firm,wage,-0.000636652724261816,0.00138358508239595,0.00465069042374603,0.00296881969136831,0.0010620710811547,0.00170163772684366,0.00194752066454934,0.00428740321439331,0.125200631811352,31279,4000
ten2,g2,firm,emp,0.00148822217979393,0.0041890916125077,0.0207317947899061,0.0110738708473132,-0.000347913580964934,0.00481914922086187,-0.00648642707321123,0.0099401729331014,0.0992365333758625,31279,4000
